,fechas,pred
78710,2011-12-25 10:10:00,0.7763
78866,2011-12-25 23:10:00,0.1621
79009,2011-12-26 11:05:00,0.806
79166,2011-12-27 00:10:00,0.1419
79306,2011-12-27 11:50:00,0.8094
79464,2011-12-28 01:00:00,0.1284
79604,2011-12-28 12:40:00,0.7852
79762,2011-12-29 01:50:00,0.1214
79902,2011-12-29 13:30:00,0.7341
80060,2011-12-30 02:40:00,0.122
80199,2011-12-30 14:15:00,0.659
80357,2011-12-31 03:25:00,0.1317
80497,2011-12-31 15:05:00,0.565
80653,2012-01-01 04:05:00,0.1526
80795,2012-01-01 15:55:00,0.4585
80950,2012-01-02 04:50:00,0.1862
81093,2012-01-02 16:45:00,0.3471
81246,2012-01-03 05:30:00,0.2332
81391,2012-01-03 17:35:00,0.239
81542,2012-01-04 06:10:00,0.2928
81690,2012-01-04 18:30:00,0.1419
81839,2012-01-05 06:55:00,0.3629
81989,2012-01-05 19:25:00,0.0627
82135,2012-01-06 07:35:00,0.44
82287,2012-01-06 20:15:00,0.006
82432,2012-01-07 08:20:00,0.5196
82586,2012-01-07 21:10:00,-0.0258
82730,2012-01-08 09:10:00,0.5962
82884,2012-01-08 22:00:00,-0.0332
83027,2012-01-09 09:55:00,0.6639
83181,2012-01-09 22:45:00,-0.0174
83324,2012-01-10 10:40:00,0.7168
83478,2012-01-10 23:30:00,0.0188
83622,2012-01-11 11:30:00,0.7496
83775,2012-01-12 00:15:00,0.0716
83919,2012-01-12 12:15:00,0.7582
84072,2012-01-13 01:00:00,0.1366
84217,2012-01-13 13:05:00,0.7404
84369,2012-01-14 01:45:00,0.2089
84515,2012-01-14 13:55:00,0.6959
84667,2012-01-15 02:35:00,0.2844
84813,2012-01-15 14:45:00,0.6275
84965,2012-01-16 03:25:00,0.3595
85112,2012-01-16 15:40:00,0.5406
85263,2012-01-17 04:15:00,0.4318
85412,2012-01-17 16:40:00,0.4433
85562,2012-01-18 05:10:00,0.5007
85712,2012-01-18 17:40:00,0.3459
85862,2012-01-19 06:10:00,0.5659
86012,2012-01-19 18:40:00,0.2591
86161,2012-01-20 07:05:00,0.627
86314,2012-01-20 19:50:00,0.1924
86461,2012-01-21 08:05:00,0.6823
86615,2012-01-21 20:55:00,0.1497
86760,2012-01-22 09:00:00,0.7283
86916,2012-01-22 22:00:00,0.1292
87059,2012-01-23 09:55:00,0.7599
87216,2012-01-23 23:00:00,0.1245
87357,2012-01-24 10:45:00,0.7717
87515,2012-01-24 23:55:00,0.1288
87655,2012-01-25 11:35:00,0.7599
87812,2012-01-26 00:40:00,0.1382
87953,2012-01-26 12:25:00,0.7224
88108,2012-01-27 01:20:00,0.1517
88250,2012-01-27 13:10:00,0.6597
88404,2012-01-28 02:00:00,0.1702
88547,2012-01-28 13:55:00,0.5751
88700,2012-01-29 02:40:00,0.1953
88844,2012-01-29 14:40:00,0.474
88995,2012-01-30 03:15:00,0.2281
89141,2012-01-30 15:25:00,0.3636
89291,2012-01-31 03:55:00,0.269
89438,2012-01-31 16:10:00,0.252
89587,2012-02-01 04:35:00,0.3171
89735,2012-02-01 16:55:00,0.1477
89883,2012-02-02 05:15:00,0.371
90033,2012-02-02 17:45:00,0.0593
90181,2012-02-03 06:05:00,0.4289
90332,2012-02-03 18:40:00,-0.0055
90479,2012-02-04 06:55:00,0.4893
90632,2012-02-04 19:40:00,-0.0407
90777,2012-02-05 07:45:00,0.5505
90931,2012-02-05 20:35:00,-0.0441
91076,2012-02-06 08:40:00,0.609
91229,2012-02-06 21:25:00,-0.0177
91374,2012-02-07 09:30:00,0.6601
91527,2012-02-07 22:15:00,0.0338
