,fechas,pred
72840,2011-12-05 01:00:00,-0.4292
72985,2011-12-05 13:05:00,-0.184
73137,2011-12-06 01:45:00,-0.3555
73286,2011-12-06 14:10:00,-0.2324
73433,2011-12-07 02:25:00,-0.285
73585,2011-12-07 15:05:00,-0.2908
73728,2011-12-08 03:00:00,-0.2231
73884,2011-12-08 16:00:00,-0.3513
74021,2011-12-09 03:25:00,-0.1764
74182,2011-12-09 16:50:00,-0.4073
74313,2011-12-10 03:45:00,-0.1518
74479,2011-12-10 17:35:00,-0.4545
74600,2011-12-11 03:40:00,-0.1547
74776,2011-12-11 18:20:00,-0.4909
74889,2011-12-12 03:45:00,-0.1811
75072,2011-12-12 19:00:00,-0.5157
75184,2011-12-13 04:20:00,-0.2131
75368,2011-12-13 19:40:00,-0.5293
75482,2011-12-14 05:10:00,-0.2398
75664,2011-12-14 20:20:00,-0.5325
75781,2011-12-15 06:05:00,-0.2574
75961,2011-12-15 21:05:00,-0.5266
76081,2011-12-16 07:05:00,-0.2656
76257,2011-12-16 21:45:00,-0.513
76384,2011-12-17 08:20:00,-0.2686
76554,2011-12-17 22:30:00,-0.4931
76688,2011-12-18 09:40:00,-0.2751
76851,2011-12-18 23:15:00,-0.469
76993,2011-12-19 11:05:00,-0.2969
77148,2011-12-20 00:00:00,-0.4425
77297,2011-12-20 12:25:00,-0.3408
77446,2011-12-21 00:50:00,-0.4155
77600,2011-12-21 13:40:00,-0.4047
77744,2011-12-22 01:40:00,-0.3894
77901,2011-12-22 14:45:00,-0.4805
78042,2011-12-23 02:30:00,-0.365
78202,2011-12-23 15:50:00,-0.5578
78340,2011-12-24 03:20:00,-0.3424
78502,2011-12-24 16:50:00,-0.6263
78638,2011-12-25 04:10:00,-0.3211
78801,2011-12-25 17:45:00,-0.6778
78936,2011-12-26 05:00:00,-0.3003
79100,2011-12-26 18:40:00,-0.7064
79234,2011-12-27 05:50:00,-0.2793
79398,2011-12-27 19:30:00,-0.7094
79532,2011-12-28 06:40:00,-0.2578
79696,2011-12-28 20:20:00,-0.6865
79830,2011-12-29 07:30:00,-0.2363
79994,2011-12-29 21:10:00,-0.64
80129,2011-12-30 08:25:00,-0.2159
80292,2011-12-30 22:00:00,-0.5743
